"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA03004070"	"AT3G17700"	"CNBT1"	"cyclic nucleotide-binding transporter 1"	"-"	"-"	-6.66154553487987	2.53319142575471	0.1245003434597	0.687930790497404
"BraA01003168"	"AT3G15640"	"AT3G15640"	"Rubredoxin-like superfamily protein"	"-"	"-"	-6.43316904590054	8.51815535352194	0.00750157329299609	0.429352449492865
"BraA06000198"	"AT5G45890"	"SAG12"	"senescence-associated gene 12"	"-"	"YES"	-6.41134672746624	6.34855925628559	0.0187763019679731	0.506554544681324
"BraA03003091"	"AT2G46450"	"CNGC12"	"cyclic nucleotide-gated channel 12"	"-"	"-"	-6.34506763041589	11.3352348155999	0.00254649667045295	0.345560533337345
"BraA01000544"	"AT2G20180"	"PIL5"	"phytochrome interacting factor 3-like 5"	"YES"	"-"	-6.29673394622199	4.14794118691292	0.0515582697090064	0.601815138600175
"BraA09006500"	"AT1G11190"	"BFN1"	"bifunctional nuclease i"	"-"	"YES"	-5.63361154485631	13.1839959607527	0.00115923804139771	0.318455620662484
"BraA07002648"	"AT1G74930"	"ORA47"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-5.3489392040006	5.5902198661598	0.0254759897793651	0.545178764399766
"BraA03004337"	"AT3G23530"	"AT3G23530"	"Cyclopropane-fatty-acyl-phospholipid synthase"	"-"	"-"	-4.94014810955787	3.38266611588505	0.0799916675785797	0.647727808717701
"BraA08003512"	"AT1G12610"	"DDF1"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-4.79782767290682	1.68587941476592	0.20642612437787	0.743693054566984
"BraA05004056"	"AT3G10320"	"AT3G10320"	"Glycosyltransferase family 61 protein"	"-"	"-"	-4.72893170900499	7.97361124973901	0.0127561249372959	0.486992641569787
"BraA08001979"	"AT4G29690"	"AT4G29690"	"Alkaline-phosphatase-like family protein"	"-"	"-"	-4.69523403848347	1.92574143577886	0.177916092208526	0.730664416247023
"BraA01004368"	"AT3G10185"	"AT3G10185"	"Gibberellin-regulated family protein"	"-"	"-"	-4.54033231683848	6.00703315676968	0.0218747760703636	0.523677111984489
"BraA04000398"	"AT3G56710"	"SIB1"	"sigma factor binding protein 1"	"-"	"-"	-4.46508538433112	2.65758094337389	0.11605189963831	0.684600024750105
"BraA07001561"	"AT1G20470"	"AT1G20470"	"SAUR-like auxin-responsive protein family"	"-"	"-"	-4.37151264096343	10.6278103379746	0.0032779775874379	0.350449706564904
"BraA05002201"	"AT1G35780"	"AT1G35780"	"N-lysine methyltransferase"	"-"	"-"	-4.33152112304809	21.8355688514266	7.12995028821025e-05	0.132767927620714
"BraA03000581"	"AT5G13080"	"WRKY75"	"WRKY DNA-binding protein 75"	"YES"	"YES"	-4.26147288587187	3.75989874281298	0.0659766660496117	0.628859018656225
"BraA05003527"	"AT3G15840"	"PIFI"	"post-illumination chlorophyll fluorescence increase"	"-"	"-"	-4.24672650672927	15.1873275592678	0.000577434647475481	0.266167828560487
"BraA09005306"	"AT3G60966"	"AT3G60966"	"RING/U-box superfamily protein"	"-"	"-"	-4.18549896896452	2.8298686091667	0.11810232611153	0.685974918950147
"BraA04001893"	"AT2G25625"	"AT2G25625"	"histone deacetylase-like protein"	"-"	"-"	-4.1740529262108	7.03072963294963	0.0132205134587876	0.486992641569787
"BraA03004184"	"AT3G20080"	"CYP705A15"	"cytochrome P450, family 705, subfamily A, polypeptide 15"	"-"	"-"	-4.14093470882029	11.9837127480756	0.00179482319456689	0.320231405753351
"BraA06002500"	"AT3G48340"	"CEP2"	"Cysteine proteinases superfamily protein"	"-"	"-"	-4.12341311707206	3.14535584406735	0.0873772989518612	0.650198623066917
"BraA08003254"	"AT1G19050"	"ARR7"	"response regulator 7"	"-"	"YES"	-4.05697932161168	3.87572077873626	0.0605866363279431	0.622945429148612
"BraA01000160"	"AT4G37430"	"CYP91A2"	"cytochrome P450, family 91, subfamily A, polypeptide 2"	"-"	"-"	-4.03658506159	3.63170224792595	0.0673429038330947	0.632181637057652
"BraA09005307"	"AT3G60966"	"AT3G60966"	"RING/U-box superfamily protein"	"-"	"-"	-4.03134690106379	2.65511486577308	0.128927656155978	0.692463818587679
"BraA09001362"	"AT1G12520"	"CCS"	"copper chaperone for SOD1"	"-"	"-"	-4.02609954502229	3.09085960886956	0.090018551184753	0.653606944565745
"BraA09005783"	"AT5G43745"	"AT5G43745"	"ion channel POLLUX-like protein, putative (DUF1012)"	"-"	"-"	-4.00698237799452	13.2247581829157	0.00114246319390395	0.318455620662484
"BraA06004716"	"AT5G46090"	"AT5G46090"	"transmembrane protein, putative (DUF679)"	"-"	"-"	-3.9941051845278	8.25769327898411	0.00828867864602347	0.44295525698603
"BraA09005075"	"AT3G55870"	"AT3G55870"	"ADC synthase superfamily protein"	"-"	"-"	-3.92032753039103	3.39619463948354	0.0776748295007181	0.643931161576391
