"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC.phyB.vs.wt.sen"	"logFC.phyB.vs.wt.rec"	"F"	"PValue"	"fdr.gen"
"BraA05000169"	"AT2G46970"	"PIL1"	"phytochrome interacting factor 3-like 1"	"YES"	"YES"	-4.80707175144116	2.52727850025337	20.4923398108259	3.78404671865702e-06	0.0409788629570261
"BraA09000481"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.87491642956926	3.61168318668316	19.596339682086	5.43206663322279e-06	0.0409788629570261
"BraA09000479"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.98370294253388	3.68261223860534	19.5184107290331	5.60816517818888e-06	0.0409788629570261
"BraA01000956"	"AT4G28640"	"IAA11"	"indole-3-acetic acid inducible 11"	"-"	"YES"	-1.36925554912242	0.430236026808835	17.950173783023	1.04805537239131e-05	0.051285829045093
"BraA09001619"	"AT1G63220"	"AT1G63220"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"-"	"-"	-5.27226916420607	5.94833295499503	18.3739200855723	1.36522770448721e-05	0.051285829045093
"BraA05001033"	"AT2G36530"	"LOS2"	"Enolase"	"-"	"YES"	-1.75100585079647	1.60913181412707	17.2816851694713	1.40374514972199e-05	0.051285829045093
"BraA01004729"	"AT3G02570"	"MEE31"	"Mannose-6-phosphate isomerase, type I"	"-"	"-"	-1.95139410861418	1.20755428818683	16.1289599561218	2.35882204588386e-05	0.0635296156491382
"BraA01003138"	"AT3G05930"	"GLP8"	"germin-like protein 8"	"-"	"-"	1.10976802031344	-1.67026516633486	16.0462734401583	2.45017708898571e-05	0.0635296156491382
"BraA03004146"	"AT5G02090"	"AT5G02090"	"hypothetical protein"	"-"	"-"	-4.71290887421605	7.25948617300406	16.8101165829501	2.63742108020735e-05	0.0635296156491382
"BraA10000108"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-8.63935308617887	2.87661155129403	17.8475440855601	2.89811667575103e-05	0.0635296156491382
"BraA06003315"	"AT5G65380"	"AT5G65380"	"MATE efflux family protein"	"-"	"-"	-2.10869793426565	1.5644981926392	14.793269229409	4.49279649268603e-05	0.0895332653783367
"BraA09000909"	"AT5G65110"	"ACX2"	"acyl-CoA oxidase 2"	"-"	"-"	1.33047676670697	-1.64495249866504	14.3475539539039	5.47999697363527e-05	0.0957714651058944
"BraA03002114"	"AT2G38360"	"PRA1.B4"	"prenylated RAB acceptor 1.B4"	"-"	"-"	-3.24835358385811	2.62875500757243	14.2743422478106	5.67961792973235e-05	0.0957714651058944
"BraA09006975"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-4.51677306524889	2.70287730049519	13.0318194928398	0.000108169243443	0.169369856108144
"BraA02000242"	"AT5G07200"	"GA20OX3"	"gibberellin 20-oxidase 3"	"-"	"-"	-6.07655389721779	3.56879875715285	12.5335237713926	0.000139794875020266	0.180658333876529
"BraSca000802"	"AT3G05640"	"AT3G05640"	"Protein phosphatase 2C family protein"	"-"	"-"	-2.84664560956864	1.71569330249893	12.4976043429801	0.000142430364055672	0.180658333876529
"BraA05003570"	"AT3G15430"	"AT3G15430"	"Regulator of chromosome condensation (RCC1) family protein"	"-"	"-"	-1.29348815250374	1.29304463769238	12.3821300541407	0.000148154516855953	0.180658333876529
"BraA05002201"	"AT1G35780"	"AT1G35780"	"N-lysine methyltransferase"	"-"	"-"	4.27646847834184	-4.33152112304809	12.342507648152	0.000151270353632427	0.180658333876529
"BraA09000731"	"AT5G61060"	"HDA05"	"histone deacetylase 5"	"-"	"-"	0.868258195446949	-1.73521672370409	12.1589135665707	0.000166654467903149	0.180658333876529
"BraA09001088"	"AT2G14890"	"AGP9"	"arabinogalactan protein 9"	"-"	"-"	-5.96735703637906	4.34499744647922	12.116668086029	0.000173908369488438	0.180658333876529
"BraA07002703"	"AT1G73680"	"ALPHA DOX2"	"alpha dioxygenase"	"-"	"YES"	2.04055329446705	-2.13416988470918	12.1126105600214	0.000174281409857485	0.180658333876529
"BraA08001034"	"AT5G40400"	"AT5G40400"	"Pentatricopeptide repeat (PPR) superfamily protein"	"-"	"-"	-0.27194641934148	1.02039941849066	11.7022796790578	0.000212689562813922	0.180658333876529
"BraA10001436"	"AT5G59000"	"AT5G59000"	"RING/FYVE/PHD zinc finger superfamily protein"	"-"	"-"	-1.36593260017763	1.52847248087579	11.6537266132045	0.000218333986228785	0.180658333876529
"BraA08002381"	"AT4G37470"	"KAI2"	"alpha/beta-Hydrolases superfamily protein"	"-"	"YES"	1.18394323038974	-0.724155633244899	11.6497967036657	0.000218797829335207	0.180658333876529
"BraA05000113"	"AT2G40940"	"ERS1"	"ethylene response sensor 1"	"-"	"YES"	-2.38301106517778	1.1744677745724	11.6560125003212	0.000222290720453163	0.180658333876529
"BraA09001660"	"AT1G62740"	"Hop2"	"stress-inducible protein"	"-"	"-"	-0.832112348161417	1.10667229138056	11.5977076625927	0.000225046757469981	0.180658333876529
"BraA03001858"	"AT2G33255"	"AT2G33255"	"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"	"-"	"-"	-2.26731010459586	2.34078993426355	12.3489754291705	0.000225828325122106	0.180658333876529
"BraA06003425"	"AT2G18193"	"AT2G18193"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	-6.01786437549007	0.113423769242365	11.5865877910504	0.000230757417478345	0.180658333876529
"BraA09004427"	"AT3G50210"	"AT3G50210"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	"-"	"-"	0.597238065450287	-0.937413859881212	11.4300839792652	0.000246490459225408	0.186321288161385
"BraA10002002"	"AT5G17520"	"RCP1"	"root cap 1 (RCP1)"	"-"	"-"	1.95895670581218	-1.91398854669347	11.0601021006018	0.000307431586760265	0.222670290560623
"BraA09000636"	"AT5G25190"	"ESE3"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-4.90967129460394	4.50763437601475	11.0165939586335	0.000314893435855085	0.222670290560623
"BraA08002141"	"AT4G27940"	"MTM1"	"manganese tracking factor for mitochondrial SOD2"	"-"	"-"	-2.94232130387645	2.01548829223239	10.803325473963	0.00034918261195502	0.239201001145812
"BraA03006214"	"AT4G33770"	"AT4G33770"	"Inositol 1,3,4-trisphosphate 5/6-kinase family protein"	"-"	"-"	1.8678493548781	-2.03919849219089	10.5987072838955	0.000390688772654616	0.252307511856324
"BraA10002022"	"AT5G17290"	"APG5"	"autophagy protein Apg5 family"	"-"	"YES"	-0.668987553018063	1.81318528504899	10.6021218569787	0.000394868755415033	0.252307511856324
