"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA01003850"	"AT3G16660"	"AT3G16660"	"Pollen Ole e 1 allergen and extensin family protein"	"-"	"-"	-11.9037525972895	5.55909237718653	0.0268324189564837	1
"BraA01003853"	"AT3G16660"	"AT3G16660"	"Pollen Ole e 1 allergen and extensin family protein"	"-"	"-"	-10.299468406277	5.45640458161989	0.0281374988364297	1
"BraA03004037"	"AT3G16660"	"AT3G16660"	"Pollen Ole e 1 allergen and extensin family protein"	"-"	"-"	-9.33565734802712	5.04440045885492	0.0330539359883319	1
"BraA07000093"	"AT2G19800"	"MIOX2"	"myo-inositol oxygenase 2"	"-"	"-"	-6.78756724547829	9.49563059057744	0.00563472498548436	1
"BraA03005500"	"AT4G24040"	"TRE1"	"trehalase 1"	"-"	"-"	-5.88481242773725	12.5925104996757	0.00143510216061848	1
"BraA01000214"	"AT4G36820"	"AT4G36820"	"calcium uniporter (DUF607)"	"-"	"-"	-5.55533079753868	7.90569048379304	0.00963704925033684	1
"BraSca000751"	"AT4G17585"	"AT4G17585"	"aluminum activated malate transporter family protein"	"-"	"-"	-5.33867005650115	21.1643933506728	8.83333675372346e-05	1
"BraA02000975"	"AT5G20630"	"GER3"	"germin 3"	"-"	"-"	-4.96005103415251	8.08760989935714	0.00837529714688709	1
"BraA02001220"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-4.76033076205008	1.09733811012259	0.315302737303614	1
"BraA05004265"	"AT3G07350"	"AT3G07350"	"sulfate/thiosulfate import ATP-binding protein, putative (DUF506)"	"-"	"-"	-4.74867337789975	6.48430149119832	0.0168720928929353	1
"BraA08003512"	"AT1G12610"	"DDF1"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-4.63975113199077	2.06083702143679	0.163972754603719	1
"BraA08000969"	"AT5G41080"	"GDPD2"	"PLC-like phosphodiesterases superfamily protein"	"-"	"-"	-4.47838781074942	3.47929624580097	0.0743548407795548	1
"BraA09001289"	"AT2G19800"	"MIOX2"	"myo-inositol oxygenase 2"	"-"	"-"	-3.94836843586505	13.0522405053697	0.0012153058390376	1
"BraA10003109"	"AT5G02540"	"AT5G02540"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-3.90616890947288	6.61665460939534	0.0158958971238991	1
"BraA02000813"	"AT5G18000"	"VDD"	"VERDANDI"	"YES"	"-"	-3.90029968396521	5.03236007751306	0.0357163536625195	1
"BraA01000945"	"AT4G28720"	"YUC8"	"Flavin-binding monooxygenase family protein"	"-"	"YES"	-3.88269365173608	2.15040792178798	0.15726864125263	1
"BraA02001205"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-3.83726354476857	0.841651443705082	0.376828694777088	1
"BraA03001284"	"AT5G57760"	"AT5G57760"	"hypothetical protein"	"-"	"YES"	-3.81222184801862	0.828490527340997	0.371718431594828	1
"BraA10001853"	"AT5G19120"	"AT5G19120"	"Eukaryotic aspartyl protease family protein"	"-"	"-"	-3.57992086725941	9.87449987965165	0.00402917635827743	1
"BraA02001206"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-3.51088071588555	0.649702379223137	0.435757221333343	1
"BraA08001694"	"AT4G34410"	"RRTF1"	"redox responsive transcription factor 1"	"YES"	"-"	-3.50952790722064	0.728918773067726	0.404383529661676	1
"BraSca000753"	"AT2G17880"	"AT2G17880"	"Chaperone DnaJ-domain superfamily protein"	"-"	"YES"	-3.30862417963901	12.6708051316107	0.00139481969084327	1
"BraA02003832"	"AT2G12880"	"AT2G12880"	"Zinc knuckle (CCHC-type) family protein"	"-"	"-"	-3.1944020448501	7.8405595936516	0.00930258925674519	1
"BraA09001495"	"AT3G15450"	"AT3G15450"	"aluminum induced protein with YGL and LRDR motifs"	"-"	"-"	-3.16737039166926	7.01688251300471	0.0133015518358903	1
"BraA03002030"	"AT2G37030"	"AT2G37030"	"SAUR-like auxin-responsive protein family"	"-"	"-"	-3.15367026311971	1.80885772587298	0.191159319374471	1
"BraA02001219"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-3.13875958432209	0.488336596765316	0.4978678623371	1
"BraA09000912"	"AT3G15450"	"AT3G15450"	"aluminum induced protein with YGL and LRDR motifs"	"-"	"-"	-3.12937222021048	6.86266308220093	0.0142417950024563	1
"BraA04002976"	"AT2G41230"	"ORS1"	"ORGAN SIZE-like protein"	"-"	"YES"	-3.12554034158104	3.52099248756291	0.074327963498487	1
"BraA07002648"	"AT1G74930"	"ORA47"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-3.09524624541482	2.34085337538899	0.137605059587488	1
