Gene_ID,logFC_WT,logFC_phyB,logCPM_WT,logCPM_phyB,PValue_WT,PValue_phyB,FDR_WT,FDR_phyB,sig_conditions,GO:0009507_Chloroplast,A._thaliana_best_hit,Symbol,Description,WT.P_Avg_CPM,phyB.P_Avg_CPM,WT.24_Avg_CPM,phyB.24_Avg_CPM,WT.D_Avg_CPM,phyB.D_Avg_CPM,WT.R_Avg_CPM,phyB.R_Avg_CPM
BraA07001417,2.24255908233732,0.403746230394938,4.35780367093647,4.35780367093647,2.75980229945784E-08,0.192484382014585,2.4074341402794E-07,0.243330188170393,WT_up,-,AT1G32870,NAC13,NAC domain protein 13,9.342844,18.95968,9.929054,17.041008,57.471005,28.532324,13.881969,16.047987
BraA03004292,2.96794354275452,0.919363342907542,3.81476926332885,3.81476926332885,3.73865338916948E-08,0.030315028812583,3.07291928697272E-07,0.047015326979019,WT_up,-,AT3G22370,AOX1A,alternative oxidase 1A,5.24531,7.979,4.761529,10.365471,51.990398,17.442861,9.635944,8.158363
BraA05000113,3.17419735617424,0.95421689518183,4.81887836368889,4.81887836368889,3.9557330558835E-08,0.033978894039678,3.20945397249495E-07,0.052081341126431,WT_up,-,AT2G40940,ERS1,ethylene response sensor 1,9.409699,17.315574,8.554606,18.782158,113.548167,40.080106,16.712024,14.159806
BraA06001267,1.94089070918476,0.318166917996005,3.80490198948648,3.80490198948648,5.48343499025162E-08,0.253388040629818,4.17834040458109E-07,0.309700866556401,WT_up,-,AT1G56330,SAR1B,secretion-associated RAS 1B,5.537877,12.08813,7.619036,14.438681,27.692989,17.413032,13.708475,16.323333
BraA05004609,1.57028175388465,0.676147431786568,6.26690331831857,6.26690331831857,9.97776338740057E-08,0.008229202236395,6.95219104549292E-07,0.014704012169469,WT_up,yes,AT3G02520,GRF7,general regulatory factor 7,44.0634,67.20117,50.7066,81.43557,169.79435,124.66282,56.3079,47.61413
BraA10002904,6.65579084435439,0.920067320042966,2.19457047112381,2.19457047112381,1.06093597069621E-07,0.237435157554234,7.30176308647062E-07,0.292634044311616,WT_up,-,AT5G09570,AT5G09570,Cox19-like CHCH family protein,0.1707459,1.9631529,0.3138703,1.2164715,26.1152028,4.1524117,1.6319151,1.28236
BraA07003299,1.30619611004101,0.425628920145374,4.11524808698331,4.11524808698331,1.96368008218955E-07,0.044522190506009,1.22603429169629E-06,0.066248750100642,WT_up,-,AT1G69580,AT1G69580,Homeodomain-like superfamily protein,8.868374,19.137486,10.996108,15.446062,28.660918,29.729142,14.878597,16.042804
BraA08003969,5.86977763881148,2.26058340085571,2.44250633996295,2.44250633996295,2.51274402896923E-07,0.012066508621557,1.51360853486321E-06,0.020630767510679,WT_up,-,AT1G03790,SOM,Zinc finger C-x8-C-x5-C-x3-H type family protein,0.4366414,0.7302823,0.7202707,0.4969908,36.5257264,4.3014098,0.5836835,0.314156
BraA09006082,2.07099120853042,1.00861143793333,4.08595237503701,4.08595237503701,4.12548870745465E-07,0.005557289103599,2.29859087629509E-06,0.010326021779087,WT_up,-,AT1G76690,OPR2,12-oxophytodienoate reductase 2,6.245114,10.400547,8.842406,8.379791,33.921419,24.541384,23.800582,20.758115
BraA09003735,2.23911975769715,0.64666061077146,3.94172988655623,3.94172988655623,4.83366003903829E-07,0.079279296554888,2.63076794655819E-06,0.110478630170335,WT_up,-,AT1G30230,eEF-1Bb1,translation elongation factor EF1B/ribosomal protein S6 family protein,5.863365,18.401929,6.935479,11.201381,36.743718,34.601517,7.629315,9.592501
BraA04001663,1.58401474410355,0.615268956568861,4.82264689768235,4.82264689768235,7.43099625049887E-07,0.030041694985246,3.78279045869509E-06,0.046646569899159,WT_up,yes,AT2G22780,PMDH1,peroxisomal NAD-malate dehydrogenase 1,15.38285,23.42978,20.60888,23.80024,60.2002,41.69453,26.41234,19.98823
BraSca000802,2.76097511753013,-0.182615041136234,4.36575267145728,4.36575267145728,7.99399713892921E-07,0.681190429383651,4.02770534464615E-06,0.727404162720398,WT_up,-,AT3G05640,AT3G05640,Protein phosphatase 2C family protein,4.64021,20.559888,6.264885,17.516319,43.030158,21.525639,18.738162,40.67961
BraA05003447,1.17770641414321,0.461080515997269,5.77798547799124,5.77798547799124,1.1373713211781E-06,0.03483799981054,5.45988548132915E-06,0.053206881138938,WT_up,-,AT2G18790,PHYB,phytochrome B,38.36114,48.78792,36.43286,54.45407,111.97203,78.74686,44.95812,37.35204
BraA03002445,1.29722496814884,0.673992773605382,4.81743220214576,4.81743220214576,1.19994542433172E-06,0.00698730332407,5.70436151585056E-06,0.01268806579613,WT_up,-,AT2G44200,AT2G44200,pre-mRNA splicing factor domain-containing protein,20.23804,21.54188,21.15433,22.50904,63.92523,39.83119,20.08412,20.5762
BraSca000727,1.78877922157124,0.889789113728663,3.52026470649641,3.52026470649641,1.25991548937094E-06,0.007899643613445,5.94456528857873E-06,0.014184393164,WT_up,-,AT1G58360,AAP1,amino acid permease 1,4.859615,9.301612,7.709276,10.258303,22.153324,19.740108,9.064795,11.912536
BraA05001406,4.80565722873297,2.26425058144874,1.97037230773186,1.97037230773186,1.34901132657257E-06,0.010227666612399,6.28394148572127E-06,0.017833551842157,WT_up,-,AT2G32020,AT2G32020,Acyl-CoA N-acyltransferases (NAT) superfamily protein,0.5415316,0.5276604,0.5262774,1.5934187,20.7191848,3.0076575,2.1590907,1.7234086
